Drug_ID,Drug,Y,split,AvgIpc,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Drug 15,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,1,train,2.4562620780473767,2.2569910084479865,-2.1933870301787595,2.198159666371077,-2.496217106317005,6.432665694017286,-0.12014941567869199,35.49678786602213,9.747841034788435,2.576602377245382,569.7082901720138,17.568549621822843,12.845167895456948,14.357025787493859,10.701285058155639,7.09095678310167,7.8468857291201255,5.524014294773423,6.367650201986014,3.0141465536749665,3.578831877502751,1.9481418949937466,2.323614866957159,24.873944390793174,19.63711951827565,0.0,23.04874725751229,11.443454936667337,0.0,12.13273413692322,6.06636706846161,13.847474399381248,10.633577208012662,23.20187978046503,360.081492848,1.2608695652173914,1.9130434782608696,2.4782608695652173,0.42857142857142855,-1.2750649350649346,23,341.88200000000006,69929.78136200881,19.770965121964508,9.126043062562799,6.7854121513002195,144.86131257662234,11.986642914882003,0.4749645109706866,11.986642914882003,0.4749645109706866,0.16008332808432035,0.42573609624437303,-1.667198216446052,-0.42573609624437303,1.2660999999999993,90.37250000000004,361.034,4,6,0,0,0,2,1,0,1,1,0,4,4,9,0,0,7,0,0,0,0,0,126,20.68162235814467,0.0,0.0,5.907179729351506,5.907179729351506,7.118392334224363,9.589074368143644,0.0,0.0,0.0,37.04935417984628,30.537828874472233,5.022633313741326,23.072033809216695,7.844812134411968,1,19.63711951827565,42.134631573392404,0.0,10.633577208012662,5.917906046161393,26.209488620173055,6.544756405912575,33.80781932456448,0.0,0.0,11.956521739130435,10.633577208012662,0.0,0.0,23.20187978046503,41.466745946837754,4.794537184071822,5.917906046161393,30.626284698076073,18.19910120538483,10.045266627482652,0.0,0.0,98.66000000000001,0.0,11.705622105248414,23.80657203570729,23.9518218694307,0.16008332808432035,-1.7046526538547946,4.4328936536480725,0.4002722654463273,3.470141168291282,-1.667198216446052,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550014922325627
Drug 1231,CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,0,train,2.5873498495750535,2.11032198458262,-2.1857448093317196,2.1998130607440505,-3.112680573821681,7.915195004280931,-0.8983784137081672,32.23310155411775,10.042642852629712,2.3224081975645565,587.578786452204,19.416002794556718,16.629777624705156,17.446274205632882,12.352685169664095,9.9470690230338,11.838480561092057,7.172029321615045,8.920484520798794,4.740478317341533,5.3469713896356454,3.1565708819189453,3.7208059955322916,16.127257541155885,13.524324379169643,0.0,0.0,5.687386274683562,37.75037673288557,38.648864520542624,29.165378004696915,0.0,18.569569263833337,0.0,385.25194046408996,1.0,1.6153846153846154,2.1923076923076925,0.7,-1.11,26,348.29800000000006,365747.77473592956,22.93017677782242,12.308317670661763,10.139337255735397,159.405298219472,11.217069571588738,0.3884174890346061,11.217069571588738,0.2293188515850151,0.495422221293885,0.2293188515850151,-3.2653683507577838,-0.3884174890346061,2.746900000000001,109.09900000000006,385.59400000000005,3,5,0,0,0,0,1,0,1,2,0,3,3,6,0,0,14,0,0,0,0,2,150,10.006437125691184,0.0,0.0,10.023291153407584,0.0,0.0,4.722094864452088,8.417796984328938,0.0,0.0,38.31893620539187,50.30320932001487,5.687386274683562,31.99400478899743,10.855073077918066,1,18.424234110020123,15.710677428091145,0.0,0.0,0.0,64.89719214761162,30.612133265701218,29.828919765543436,0.0,0.0,14.153846153846153,9.622004595302567,5.687386274683562,0.0,0.0,39.41436278041877,10.023291153407584,0.0,70.46064363930861,24.26546827384644,0.0,0.0,0.0,70.84,24.86654241255078,0.0,1.612406302511822,10.354836148316679,1.3562876660955498,0.0,6.9640066691827425,8.941722684028694,7.9195664680715225,-3.2653683507577838,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0.4313371447281132
Drug 1052,CC[C@@H](c1cccc(O)c1)[C@@H](C)C[NH+](C)C,0,train,2.170858847388733,2.1955000662676722,-2.2383151908013006,2.2854529793365725,-3.060526692672745,5.295185598576225,-0.8616333799665054,16.25467733376692,9.846435245826061,2.808170420885814,322.2663095414757,12.129392033067417,10.82552877301081,10.82552877301081,7.540912557858759,6.121489492621218,6.121489492621218,4.998242720143612,4.998242720143612,3.15529959158447,3.15529959158447,2.5082465411681976,2.5082465411681976,0.0,5.106527394840706,0.0,0.0,17.585323925606694,12.965578028838586,10.463361222547473,6.06636706846161,12.13273413692322,34.00918543319724,0.0,222.18524080809,1.3125,2.0,2.5,0.5714285714285714,-1.02,16,198.15999999999997,3017.4937978703388,13.046755674232308,5.900184448712978,3.527672664995709,98.9050074570692,9.515927658100278,0.5079561968089554,9.515927658100278,0.1153609957890311,0.3753240740740744,0.1153609957890311,0.3753240740740744,-0.5079561968089554,1.6664,67.98050000000005,222.35199999999998,2,2,0,0,0,0,1,0,1,2,0,1,2,2,0,0,5,0,0,0,0,0,90,10.006437125691184,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.980208536304467,30.034913297707618,5.917906046161393,20.640100371266954,4.811141558453954,1,10.006437125691184,0.0,0.0,0.0,5.917906046161393,26.18620206846865,20.640100371266954,29.828919765543436,0.0,5.749511833283905,15.0625,4.899909730850478,0.0,5.749511833283905,0.0,25.74662776610766,0.0,5.917906046161393,31.749653560165644,24.26546827384644,0.0,0.0,0.0,24.67,0.0,0.0,1.4778732048374907,9.515927658100278,1.260416666666667,1.5547685185185185,7.686196617535904,1.1229166666666668,5.676175359032501,4.372391975308642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.778015885444011
Drug 1073,CC[N+](C)(C)c1cccc(O)c1,0,train,2.0450305908629405,2.1512918415548468,-2.2698344969764137,2.221266524302819,-2.3926816403829685,5.4575087750416635,0.41533472649573133,16.25475743649627,10.229266364691773,3.026535165036495,268.2960188386611,9.190234444311992,7.910935048944968,7.910935048944968,5.559678737419713,4.186342538749178,4.186342538749178,3.5210764752471193,3.5210764752471193,2.319278869871456,2.319278869871456,1.0521236134697067,1.0521236134697067,0.0,5.106527394840706,0.0,0.0,5.749511833283905,16.71517353829076,0.0,6.06636706846161,18.19910120538483,21.019081165045005,0.0,166.12264055209,1.3333333333333333,2.0,2.5,0.4,-1.02,12,150.11599999999996,445.81666880812105,9.071074681238617,3.1515896434999315,1.7688978113117904,73.6552104860781,9.261910430839002,0.5077267008807378,9.261910430839002,0.13563019252731973,0.3399537037037039,0.13563019252731973,0.3399537037037039,-0.5077267008807378,1.9790000000000003,52.28980000000004,166.24399999999997,1,2,0,0,0,0,1,0,1,0,0,1,1,2,0,0,2,0,0,0,0,0,66,5.106527394840706,11.436898107967467,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,6.06636706846161,19.056471336613843,6.06636706846161,20.640100371266954,2.382358751733839,1,5.106527394840706,5.687386274683562,0.0,4.483030857694624,0.0,6.923737199690624,20.640100371266954,24.26546827384644,0.0,5.749511833283905,11.583333333333334,4.483030857694624,5.687386274683562,5.749511833283905,0.0,25.746627766107657,0.0,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,20.23,0.7999999999999999,0.0,0.0,9.261910430839002,1.1365740740740744,0.3399537037037039,7.408935185185185,0.0,3.146330309901739,4.239629629629629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6659702056085907
Drug 1074,CC[N+](C)(C)Cc1ccccc1Br,0,train,2.0891683530196716,2.1341403068926157,-2.2808919428138026,2.187113295323562,-2.377619818654433,9.103214222433314,-0.9014373544833298,79.91873101752424,10.175522355572857,2.8001498537198843,281.17369729722583,9.89734122549854,8.548792707640784,10.134789246755489,6.049642036287644,4.603875400507652,5.396873670065005,4.001482657629314,4.855819556803835,2.412275794623905,3.1858946602775458,1.1995666144282893,1.6097296164384658,0.0,0.0,0.0,0.0,0.0,17.572543669519774,10.03617100752941,0.0,0.0,61.214493336840796,0.0,242.05388806409,1.2307692307692308,1.8461538461538463,2.3846153846153846,0.45454545454545453,-0.3400000000000001,13,226.03199999999995,716.5847450857474,10.738988941548184,4.248460270697676,3.1248525139318244,89.09346645392004,3.5681070483749053,0.32492444511674134,3.5681070483749053,0.10504444760326025,1.0303703703703704,0.10504444760326025,1.0303703703703704,-0.32492444511674134,3.0454000000000017,60.495400000000046,243.16799999999998,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,72,4.483030857694624,6.544756405912575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.12904510333418,12.990104268152233,10.03617100752941,20.640100371266954,3.5095513742791655,1,4.483030857694624,15.929943897949348,0.0,0.0,0.0,13.4684936056032,20.640100371266954,34.30163928137585,0.0,0.0,11.692307692307692,0.0,0.0,0.0,15.929943897949348,25.12313122896158,6.544756405912575,0.0,12.487188691387619,28.738187789678854,0.0,0.0,0.0,0.0,2.247638888888889,3.5681070483749053,0.0,0.0,1.3836574074074075,0.0,8.430574452003023,0.0,4.454466647770219,4.498888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7156100675468327
Drug 1078,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0,train,2.9313591736188087,2.24565745656512,-2.3604203835784676,2.3732556715833546,-2.497789935171409,5.507548893652868,-0.9228864773282661,16.54229166039553,10.250089571877952,3.069462393008844,644.3467231953877,27.08129321248637,25.405038183258547,25.405038183258547,17.31450983678419,14.881108998217506,14.881108998217506,10.17058689300651,10.17058689300651,9.438581407516118,9.438581407516118,5.34062310321284,5.34062310321284,0.0,0.0,0.0,0.0,19.820645893538753,109.23470494388651,0.0,0.0,18.19910120538483,62.3136347972156,14.210588861400147,510.46182204027,0.4444444444444444,0.7222222222222222,1.0,0.8,-1.5000000000000002,36,450.3480000000003,52886409.6667611,32.528985507246375,16.3646086252746,8.810361314117888,223.4400650239324,6.47681783824641,0.4836702681525596,6.47681783824641,0.20329390461398167,0.6567592592592592,0.20329390461398167,0.6567592592592592,-0.4836702681525596,5.452500000000005,153.1781999999998,510.8280000000005,0,6,0,0,0,0,1,0,1,0,0,3,0,6,0,0,21,0,0,0,0,0,210,27.65968143448402,39.45491511127648,11.49902366656781,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,74.44636893413882,0.0,58.902807653213166,14.786781022314345,1,27.65968143448402,0.0,0.0,0.0,0.0,62.3136347972156,98.35772276448967,18.19910120538483,0.0,17.248535499851716,12.583333333333334,14.210588861400147,0.0,17.248535499851716,0.0,111.80681533757355,0.0,0.0,62.3136347972156,18.19910120538483,0.0,0.0,0.0,27.69,22.442546848374462,0.0,0.0,0.0,0.0,2.3764485701688085,6.101877598261527,0.0,35.57912698319521,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.20582218946734446
Drug 1080,CC[NH+](CC)C(C)C(=O)c1ccccc1,0,train,2.303941289095321,2.225434472384764,-2.2161128256114018,2.009889374723089,-3.1537856338166077,5.983853352041176,-0.9095309053331001,16.139990796764458,10.04428571246334,2.765462427915391,303.57180855073926,11.259148545064338,9.786563467974714,9.786563467974714,7.201907262607799,5.640828629693784,5.640828629693784,3.8173190820330127,3.8173190820330127,2.9722106376154684,2.9722106376154684,1.900187120806682,1.900187120806682,0.0,4.794537184071822,0.0,11.8250857755129,0.0,18.652964303522147,4.899909730850478,0.0,37.255572541998674,13.847474399381248,0.0,206.15394068009,1.2,1.7333333333333334,2.2,0.46153846153846156,-1.15,15,186.14899999999994,2580.4142437867595,11.922202166064983,5.663219405409221,2.8972781770561498,91.90735369052038,12.083055555555557,0.32669928622683386,12.083055555555557,0.21912747153819995,0.057777777777777484,0.21912747153819995,0.057777777777777484,-0.32669928622683386,1.1824999999999994,62.279200000000046,206.309,1,2,0,0,0,0,1,0,1,1,0,1,1,2,0,0,5,0,0,0,0,1,82,4.899909730850478,6.041840829147961,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,0.0,30.33183534230805,20.771211599071872,5.563451491696996,13.08951281182515,4.501203110804737,1,9.694446914922299,5.783244946364939,0.0,0.0,0.0,26.813052428219834,13.08951281182515,35.89528683400505,0.0,0.0,12.8,4.899909730850478,0.0,0.0,0.0,24.914598587338048,0.0,0.0,31.129200274840688,30.33183534230805,0.0,0.0,0.0,21.51,0.0,0.0,13.419956538170826,0.0,0.8235185185185188,0.2447222222222225,9.60370701058201,0.0,8.241429043839759,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7178584015581437
Drug 1083,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,0,train,2.307845583406121,2.119892081562479,-2.160746626083974,2.182901042673908,-3.1200467031379797,5.925181816135441,-0.8875368797884979,16.150137625790563,10.099692731628465,2.680267656047493,363.55864155890856,12.836498814253964,11.261619441592384,11.261619441592384,8.078917360319544,6.276568205834414,6.276568205834414,4.448868638540842,4.448868638540842,3.156101739578011,3.156101739578011,1.9223029717031517,1.9223029717031517,0.0,4.794537184071822,0.0,5.907179729351506,6.544756405912575,29.903802069902703,4.899909730850478,0.0,32.046575604766076,19.16426300338758,0.0,235.18048977608998,1.1764705882352942,1.7058823529411764,2.176470588235294,0.5,-1.35,17,212.16699999999994,5511.135253173818,13.713897763578274,6.4012209135305955,3.858200815473424,103.82215798852502,11.913151927437642,0.32760507421242957,11.913151927437642,0.27907081146800083,0.09824074074074063,0.27907081146800083,0.09824074074074063,-0.32760507421242957,1.16664,71.45740000000004,235.351,2,3,0,0,0,1,1,0,1,0,0,1,2,3,0,0,5,0,0,0,0,0,94,10.216698334856808,0.0,6.544756405912575,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,18.19910120538483,38.821851782156486,5.687386274683562,13.08951281182515,5.163864068837512,1,9.694446914922299,11.594566004035068,0.0,0.0,0.0,27.694948798762496,24.951057821744055,29.32600418877882,0.0,0.0,10.647058823529411,10.216698334856808,5.687386274683562,0.0,0.0,25.54144894708923,4.794537184071822,13.847474399381248,24.974377382775238,18.19910120538483,0.0,0.0,0.0,33.54,0.0,0.0,13.212908635676493,3.017824074074074,3.1989351851851855,0.09824074074074063,6.051313460569413,0.0,10.754111237087429,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7889166894215319
Drug 1089,CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0,train,2.4530697788926803,2.148167664069941,-2.158399114977501,2.280896213398443,-3.116540290417241,6.331437974154201,-0.8946359538274015,35.495691612646155,10.139606240301207,2.6993698551050787,461.97739235477394,15.120955864630139,12.254938986252021,13.010867932270477,9.527605765303287,6.777281615152595,7.155246088161823,4.5370122381769935,4.9442123649175995,3.327540729167873,3.654867564521862,1.967027231177455,2.1306906488544493,0.0,4.794537184071822,0.0,5.907179729351506,28.567739319318363,19.634269217737724,18.07607434058962,6.06636706846161,0.0,19.16426300338758,22.07147032119475,300.14733107609,1.4,2.05,2.6,0.5,-1.4600000000000002,20,277.626,23853.65052995242,16.593937432578212,7.968039579443504,4.28252067886105,124.57886014192627,12.14623897707231,0.4958418390188128,12.14623897707231,0.254808353301504,0.19879062736205566,0.254808353301504,-0.19879062736205566,-0.4958418390188128,0.5853000000000006,81.66130000000004,300.81000000000006,4,5,0,0,0,1,1,0,1,0,0,3,3,6,0,0,7,0,0,0,0,0,112,20.687228765819043,5.749511833283905,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,11.600939890232516,19.913841467842857,6.06636706846161,49.56229424504971,6.611057512079616,1,14.431309868722348,23.195505894267583,0.0,5.316788604006331,0.0,13.847474399381248,39.02249064209002,22.71881894236154,0.0,5.749511833283905,10.65,20.687228765819043,5.687386274683562,5.749511833283905,11.600939890232516,39.196002894279346,0.0,0.0,24.205463075150064,12.13273413692322,5.022633313741326,0.0,0.0,68.79,5.167378826530612,5.951564205856984,13.583834832801433,3.2323827370454357,6.49406191631841,0.2313816977408254,3.099414210128496,0.0,7.851581813982607,1.4995108707063072,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6455361442671628
Drug 1090,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,0,train,2.3504301300761905,2.061439185209393,-2.149547516466929,2.041032882976729,-3.116539698007446,5.939202933746596,-0.8946358426623093,16.14909615611386,10.170613433256896,2.3694575785961214,344.1871368924923,12.673362107437434,10.623426761158184,10.623426761158184,8.168233757796584,6.142593609618853,6.142593609618853,4.085016089643261,4.085016089643261,2.9369828219084186,2.9369828219084186,1.692917488930427,1.692917488930427,0.0,4.794537184071822,0.0,5.907179729351506,17.795594172293132,19.634269217737724,4.899909730850478,24.26546827384644,0.0,19.16426300338758,5.733667477162185,236.17573874408998,1.2352941176470589,1.8235294117647058,2.3529411764705883,0.46153846153846156,-1.5499999999999998,17,214.16299999999995,6430.776835888457,13.51472491909385,6.909922945262059,4.443998045644615,102.79710657114113,11.752936507936507,0.39872821950629994,11.752936507936507,0.25098741715060013,0.03096655328798148,0.25098741715060013,-0.03096655328798148,-0.39872821950629994,-0.0766999999999986,70.09930000000003,236.339,4,4,0,0,0,1,1,0,1,0,0,2,3,4,0,0,6,0,0,0,0,0,94,15.950365812018994,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,0.0,38.112942673227685,11.250837766380558,26.1790256236503,5.493276930432441,1,9.694446914922299,11.594566004035068,0.0,5.316788604006331,0.0,13.847474399381248,31.912693100812486,29.828919765543436,0.0,0.0,10.529411764705882,15.950365812018994,5.687386274683562,0.0,0.0,32.08620535300181,0.0,0.0,24.205463075150064,24.26546827384644,0.0,0.0,0.0,59.56,0.0,0.0,13.241460695389266,2.916934051398337,6.903676113849275,-0.03096655328798148,6.971204963466868,0.0,8.164357395850903,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6052685787725837
